Country,Year,E_Waste_per_capita,GNI_per_capita,Internet_Users
Afghanistan,2019,0.6,520.0,17.6
Afghanistan,2020,0.632,490.0,17.0485
Afghanistan,2021,0.665,380.0,16.5143
Afghanistan,2022,0.7,370.0,17.1917
Afghanistan,2023,0.737,370.0,17.7089
Albania,2019,7.9,5900.0,68.5504
Albania,2020,8.189,5970.0,72.2377
Albania,2021,8.489,6940.0,79.3237
Albania,2022,8.8,7720.0,82.6137
Albania,2023,9.122,8730.0,83.1356
Algeria,2019,7.1,4480.0,55.7907
Algeria,2020,7.231,4020.0,63.4727
Algeria,2021,7.364,4120.0,72.2124
Algeria,2022,7.5,4430.0,74.8319
Algeria,2023,7.638,4950.0,76.9081
Andorra,2019,16.9,46450.0,90.7187
Andorra,2020,16.349,42450.0,93.2056
Andorra,2021,15.816,44720.0,93.8975
Andorra,2022,15.3,47600.0,94.4855
Andorra,2023,14.801,47920.0,95.4456
Angola,2019,2.1,2440.0,32.1294
Angola,2020,2.226,2020.0,36.6347
Angola,2021,2.359,1990.0,39.3876
Angola,2022,2.5,2340.0,42.0719
Angola,2023,2.65,2700.0,44.7581
Antigua and Barbuda,2019,12.1,18250.0,73.9792
Antigua and Barbuda,2020,12.067,15460.0,75.0089
Antigua and Barbuda,2021,12.033,16660.0,76.0528
Antigua and Barbuda,2022,12.0,18820.0,77.1648
Antigua and Barbuda,2023,11.967,19970.0,77.5756
Argentina,2019,10.3,11210.0,79.947
Argentina,2020,10.685,9040.0,85.5144
Argentina,2021,11.085,10070.0,87.1507
Argentina,2022,11.5,11890.0,88.3754
Argentina,2023,11.93,12920.0,89.229
Argentina,2024,12.377,13530.0,89.6672
Armenia,2019,6.0,4650.0,66.5439
Armenia,2020,6.52,4230.0,76.5077
Armenia,2021,7.086,4580.0,78.6123
Armenia,2022,7.7,5690.0,77.0277
Armenia,2023,8.368,6850.0,79.9966
Australia,2019,21.7,55090.0,93.6099
Australia,2020,21.8,53770.0,94.6935
Australia,2021,21.9,57220.0,96.9722
Australia,2022,22.0,60790.0,97.0424
Australia,2023,22.101,63320.0,97.0631
Austria,2019,18.8,50900.0,87.7522
Austria,2020,19.751,49000.0,87.5294
Austria,2021,20.75,53440.0,92.5292
Austria,2022,21.8,56310.0,93.6141
Austria,2023,22.903,55890.0,95.3347
Austria,2024,24.061,54760.0,94.9197
Azerbaijan,2019,7.9,4510.0,81.1
Azerbaijan,2020,8.031,4480.0,84.6
Azerbaijan,2021,8.164,4910.0,86.0
Azerbaijan,2022,8.3,5670.0,88.0
Azerbaijan,2023,8.438,6680.0,89.0
Bahamas,2019,11.0,31630.0,90.6933
Bahamas,2020,11.066,25180.0,92.4437
Bahamas,2021,11.133,29910.0,94.3479
Bahamas,2022,11.2,33790.0,94.7326
Bahamas,2023,11.267,35180.0,94.8186
Bahrain,2019,15.5,25800.0,99.7015
Bahrain,2020,15.826,23870.0,99.671
Bahrain,2021,16.16,25240.0,100.0
Bahrain,2022,16.5,28300.0,100.0
Bahrain,2023,16.847,28460.0,100.0
Bahrain,2024,17.202,28090.0,100.0
Bangladesh,2019,1.2,2220.0,30.4
Bangladesh,2020,1.263,2320.0,36.1091
Bangladesh,2021,1.33,2600.0,38.9174
Bangladesh,2022,1.4,2850.0,41.6165
Bangladesh,2023,1.474,2880.0,44.5027
Barbados,2019,14.2,20520.0,74.1791
Barbados,2020,14.167,18740.0,76.002
Barbados,2021,14.133,19880.0,77.8697
