Country,Year,GNI_per_capita,Internet_Users,E_Waste_per_capita
Afghanistan,2019,520.0,17.6,0.6
Afghanistan,2020,490.0,17.0485,0.632
Afghanistan,2021,380.0,16.5143,0.665
Afghanistan,2022,370.0,17.1917,0.7
Afghanistan,2023,370.0,17.7089,0.737
Albania,2019,5900.0,68.5504,7.9
Albania,2020,5970.0,72.2377,8.189
Albania,2021,6940.0,79.3237,8.489
Albania,2022,7720.0,82.6137,8.8
Albania,2023,8730.0,83.1356,9.122
Algeria,2019,4480.0,55.7907,7.1
Algeria,2020,4020.0,63.4727,7.231
Algeria,2021,4120.0,72.2124,7.364
Algeria,2022,4430.0,74.8319,7.5
Algeria,2023,4950.0,76.9081,7.638
Andorra,2019,46450.0,90.7187,16.9
Andorra,2020,42450.0,93.2056,16.349
Andorra,2021,44720.0,93.8975,15.816
Andorra,2022,47600.0,94.4855,15.3
Andorra,2023,47920.0,95.4456,14.801
Angola,2019,2440.0,32.1294,2.1
Angola,2020,2020.0,36.6347,2.226
Angola,2021,1990.0,39.3876,2.359
Angola,2022,2340.0,42.0719,2.5
Angola,2023,2700.0,44.7581,2.65
Antigua and Barbuda,2019,18250.0,73.9792,12.1
Antigua and Barbuda,2020,15460.0,75.0089,12.067
Antigua and Barbuda,2021,16660.0,76.0528,12.033
Antigua and Barbuda,2022,18820.0,77.1648,12.0
Antigua and Barbuda,2023,19970.0,77.5756,11.967
Argentina,2019,11210.0,79.947,10.3
Argentina,2020,9040.0,85.5144,10.685
Argentina,2021,10070.0,87.1507,11.085
Argentina,2022,11890.0,88.3754,11.5
Argentina,2023,12920.0,89.229,11.93
Argentina,2024,13530.0,89.6672,12.377
Armenia,2019,4650.0,66.5439,6.0
Armenia,2020,4230.0,76.5077,6.52
Armenia,2021,4580.0,78.6123,7.086
Armenia,2022,5690.0,77.0277,7.7
Armenia,2023,6850.0,79.9966,8.368
Australia,2019,55090.0,93.6099,21.7
Australia,2020,53770.0,94.6935,21.8
Australia,2021,57220.0,96.9722,21.9
Australia,2022,60790.0,97.0424,22.0
Australia,2023,63320.0,97.0631,22.101
Austria,2019,50900.0,87.7522,18.8
Austria,2020,49000.0,87.5294,19.751
Austria,2021,53440.0,92.5292,20.75
Austria,2022,56310.0,93.6141,21.8
Austria,2023,55890.0,95.3347,22.903
Austria,2024,54760.0,94.9197,24.061
Azerbaijan,2019,4510.0,81.1,7.9
Azerbaijan,2020,4480.0,84.6,8.031
Azerbaijan,2021,4910.0,86.0,8.164
Azerbaijan,2022,5670.0,88.0,8.3
Azerbaijan,2023,6680.0,89.0,8.438
Bahamas,2019,31630.0,90.6933,11.0
Bahamas,2020,25180.0,92.4437,11.066
Bahamas,2021,29910.0,94.3479,11.133
Bahamas,2022,33790.0,94.7326,11.2
Bahamas,2023,35180.0,94.8186,11.267
Bahrain,2019,25800.0,99.7015,15.5
Bahrain,2020,23870.0,99.671,15.826
Bahrain,2021,25240.0,100.0,16.16
Bahrain,2022,28300.0,100.0,16.5
Bahrain,2023,28460.0,100.0,16.847
Bahrain,2024,28090.0,100.0,17.202
Bangladesh,2019,2220.0,30.4,1.2
Bangladesh,2020,2320.0,36.1091,1.263
Bangladesh,2021,2600.0,38.9174,1.33
Bangladesh,2022,2850.0,41.6165,1.4
Bangladesh,2023,2880.0,44.5027,1.474
Barbados,2019,20520.0,74.1791,14.2
Barbados,2020,18740.0,76.002,14.167
Barbados,2021,19880.0,77.8697,14.133
Barbados,2022,24300.0,79.4451,14.1
Barbados,2023,24960.0,79.9923,14.067
Belarus,2019,6370.0,82.7892,13.9
Belarus,2020,6410.0,85.0879,14.289
Belarus,2021,7040.0,86.8884,14.689
Belarus,2022,7210.0,89.5073,15.1
Belarus,2023,7850.0,91.5125,15.523
Belarus,2024,8260.0,94.2618,15.957
Belgium,2019,48070.0,90.2754,20.4
Belgium,2020,46330.0,91.5264,20.983
Belgium,2021,51140.0,92.7887,21.583
Belgium,2022,54330.0,94.0078,22.2
Belgium,2023,55520.0,94.6263,22.835
Belgium,2024,55290.0,95.7758,23.487
Belize,2019,5850.0,58.7652,4.8
Belize,2020,5170.0,64.4359,4.93
Belize,2021,6120.0,70.6537,5.063
Belize,2022,6710.0,71.8096,5.2
Belize,2023,6850.0,72.3595,5.341
Benin,2019,1170.0,20.5,1.0
Benin,2020,1190.0,22.1206,1.032
Benin,2021,1280.0,28.2047,1.066
Benin,2022,1360.0,30.0134,1.1
Benin,2023,1390.0,32.2083,1.136
Bhutan,2019,3370.0,74.1794,2.0
Bhutan,2020,3040.0,76.8508,2.264
Bhutan,2021,3300.0,85.6369,2.562
Bhutan,2022,3600.0,86.2903,2.9
Bhutan,2023,3730.0,88.426,3.282
Bosnia and Herzegovina,2019,6180.0,69.9463,9.0
Bosnia and Herzegovina,2020,6160.0,73.2118,9.291
Bosnia and Herzegovina,2021,6970.0,75.6762,9.59
Bosnia and Herzegovina,2022,7710.0,78.8455,9.9
Bosnia and Herzegovina,2023,8280.0,83.3772,10.22
Bosnia and Herzegovina,2024,8790.0,86.1009,10.549
Botswana,2019,7520.0,61.3865,4.2
Botswana,2020,6600.0,69.523,4.421
Botswana,2021,7530.0,78.738,4.655
Botswana,2022,8250.0,80.3696,4.9
Botswana,2023,8360.0,81.36,5.158
Brazil,2019,9410.0,73.9124,10.2
Brazil,2020,8080.0,81.3427,10.554
Brazil,2021,8060.0,80.6899,10.921
Brazil,2022,8440.0,80.5278,11.3
Brazil,2023,9310.0,84.1506,11.692
Brazil,2024,9930.0,84.4635,12.098
Brunei Darussalam,2019,31550.0,95.0,18.1
Brunei Darussalam,2020,30810.0,96.3055,17.898
Brunei Darussalam,2021,29890.0,97.6288,17.698
Brunei Darussalam,2022,30970.0,98.9704,17.5
Brunei Darussalam,2023,34390.0,99.0336,17.304
Bulgaria,2019,9920.0,67.947,11.0
Bulgaria,2020,10090.0,70.1625,11.417
Bulgaria,2021,11720.0,75.2714,11.85
Bulgaria,2022,13100.0,79.1269,12.3
Bulgaria,2023,14240.0,80.3896,12.767
Bulgaria,2024,15370.0,82.439,13.251
Burkina Faso,2019,760.0,9.27181,0.6
Burkina Faso,2020,770.0,10.7927,0.632
Burkina Faso,2021,820.0,12.5631,0.665
Burkina Faso,2022,840.0,14.6238,0.7
Burkina Faso,2023,840.0,17.0226,0.737
Burundi,2019,250.0,6.1,0.2
Burundi,2020,250.0,9.17302,0.2
Burundi,2021,260.0,10.9847,0.2
Burundi,2022,290.0,11.0009,0.2
Burundi,2023,280.0,11.0784,0.2
Cabo Verde,2019,4420.0,61.9434,3.5
Cabo Verde,2020,3510.0,69.3734,3.69
Cabo Verde,2021,3870.0,70.2825,3.889
Cabo Verde,2022,4550.0,72.7601,4.1
Cabo Verde,2023,4740.0,73.539,4.322
Cambodia,2019,2100.0,52.3059,1.0
Cambodia,2020,2050.0,53.6508,1.119
Cambodia,2021,2120.0,57.9592,1.251
Cambodia,2022,2270.0,59.6606,1.4
Cambodia,2023,2390.0,60.7171,1.566
Cameroon,2019,1560.0,36.5392,0.7
Cameroon,2020,1540.0,41.2264,0.732
Cameroon,2021,1610.0,42.0405,0.765
Cameroon,2022,1660.0,41.775,0.8
Cameroon,2023,1680.0,41.9088,0.836
Canada,2019,46580.0,91.9129,20.2
Canada,2020,43900.0,92.3,20.167
Canada,2021,49080.0,93.9371,20.133
Canada,2022,53850.0,94.0,20.1
Canada,2023,54660.0,93.9564,20.067
Central African Republic,2019,500.0,7.50916,0.2
Chad,2019,920.0,7.6,0.2
Chad,2020,890.0,8.34311,0.2
Chad,2021,890.0,13.1283,0.2
Chad,2022,950.0,12.4865,0.2
Chad,2023,960.0,13.1832,0.2
Chile,2019,14690.0,85.0176,9.6
Chile,2020,12960.0,87.4593,9.953
Chile,2021,14790.0,90.2328,10.32
Chile,2022,15440.0,93.5377,10.7
Chile,2023,15950.0,94.4574,11.094
China,2019,10510.0,64.0809,7.2
China,2020,10740.0,70.0528,7.549
China,2021,12220.0,73.0532,7.916
China,2022,13170.0,75.6113,8.3
China,2023,13750.0,90.6,8.703
China,2024,13660.0,92.0,9.125
Colombia,2019,6630.0,65.0069,6.3
Colombia,2020,5850.0,69.7953,6.525
Colombia,2021,6310.0,73.0284,6.758
Colombia,2022,6560.0,72.7964,7.0
Colombia,2023,6720.0,77.3369,7.25
Comoros,2019,1530.0,16.3838,0.8
Comoros,2020,1520.0,22.4204,0.832
Comoros,2021,1570.0,30.6812,0.865
Comoros,2022,1590.0,32.7685,0.9
Comoros,2023,1580.0,35.6678,0.936
Costa Rica,2019,12240.0,81.2026,13.2
Costa Rica,2020,11700.0,80.5302,13.682
Costa Rica,2021,12630.0,82.749,14.182
Costa Rica,2022,13210.0,82.598,14.7
